Track.Name,Artist,songId,Region,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01
Otra Vez (feat. J Balvin),Zion & Lennox,3QwBODjSEzelZyVjxPOHdq,Argentina,7,7,9,,,,,,,,,
Traicionera,Sebastian Yatra,5J1c3M4EldCfNxXwrwt8mT,Argentina,8,,,,,,,,,,,
Shaky Shaky,Daddy Yankee,58IL315gMSTD37DOZPJ2hf,Argentina,9,,,,,,,,,,,
Me Llamas (feat. Maluma) - Remix,Piso 21,5hEM0JchdVzQ5PwvSfITeX,Argentina,10,,10,,,,,,,,,
El Amante,Nicky Jam,3umS4y3uQDkqekNjVpiRUs,Argentina,,3,3,4,8,10,,,,,,
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,Argentina,,6,2,2,6,6,9,,,,,
Vacaciones,Wisin,3dQDid3IUNhZy1OehIfYfE,Argentina,,8,,,,,,,,,,
La Rompe Corazones,Daddy Yankee,4okba5wu9mMLXx79DXLKi3,Argentina,,10,5,6,,,,,,,,
SUBEME LA RADIO,Enrique Iglesias,7nKBxz47S9SD79N086fuhn,Argentina,,,6,3,10,,,,,,,
Despacito - Remix,Luis Fonsi,5CtI0qwDJkDQGwXD1H1cLb,Argentina,,,,5,2,8,,,,,,
Me Rehúso,Danny Ocean,6De0lHrwBfPfrhorm9q1Xl,Argentina,,,,7,,2,1,2,3,5,,
Ahora Dice,Chris Jeday,22eADXu8DfOAUEDw4vU8qy,Argentina,,,,9,3,3,4,6,,,,
Felices los 4,Maluma,0qYTZCo5Bwh1nsUFGZP3zn,Argentina,,,,10,1,1,2,4,9,,,
Me Rehúso,Danny Ocean,6Zosz8w6CmdGMZM6p4JlbQ,Argentina,,,,,4,,,,,,,
Escápate Conmigo,Wisin,2cnKEkpVUSV4wnjQiTWfH6,Argentina,,,,,7,5,5,5,10,,,
Hey DJ,CNCO,209gZgcfLq2aUuu51vOWBl,Argentina,,,,,9,4,6,7,,,,
Tu Foto,Ozuna,0Szp49tpFasIjX04Mcsydp,Argentina,,,,,,7,8,10,,,,
Mi Gente,J Balvin,2rb5MvYT7ZIxbKW5hfcHx8,Argentina,,,,,,,3,1,1,6,,
Bonita,J Balvin,693iqPOQvhI7PobtR8CC8v,Argentina,,,,,,,7,3,4,7,,
Olha a Explosão,MC Kevinho,6m2LNopVJKsvBB9l7Z1rwn,Argentina,,,,,,,10,9,,,,
Krippy Kush,Farruko,3rgjBiAMVGnxmsTDmUy8vb,Argentina,,,,,,,,8,,,,
Se Preparó,Ozuna,1m69ELEgE6k5ZWsap40ozt,Argentina,,,,,,,,,2,2,3,5
Mayores,Becky G,7JNh1cfm0eXjqFVOzKLyau,Argentina,,,,,,,,,5,3,2,7
Báilame - Remix,Nacho,3VClLWqNn80Llv0PJOsKgr,Argentina,,,,,,,,,6,4,9,
Criminal,Natti Natasha,2SmgFAhQkQCQPyBiBxR6Te,Argentina,,,,,,,,,7,1,7,
