"name","nTracks","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence",
"Broederliefde"," 9"," 0.7188888888888889"," 0.6471111111111111"," 0.2501888888888889"," 0.16170888888888887"," 2.0155555555555554e-06"," 0.12212222222222222"," 0.5064444444444445"," "
"Bruce Springsteen"," 1"," 0.355"," 0.668"," 0.0482"," 0.362"," 1.23e-06"," 0.727"," 0.413"," "
"Bruninho & Davi"," 1"," 0.585"," 0.984"," 0.109"," 0.357"," 0.0"," 0.91"," 0.683"," "
"Bruno Mars"," 4"," 0.73825"," 0.699"," 0.066325"," 0.065375"," 0.0"," 0.08797500000000001"," 0.6797500000000001"," "
"Bryant Myers"," 1"," 0.662"," 0.628"," 0.0468"," 0.145"," 0.0"," 0.274"," 0.202"," "
"BTS"," 4"," 0.6002500000000001"," 0.8047500000000001"," 0.096275"," 0.01845"," 4.2e-07"," 0.205925"," 0.56625"," "
"Burak King"," 2"," 0.558"," 0.6114999999999999"," 0.0586"," 0.16060000000000002"," 0.00078"," 0.186"," 0.595"," "
"Burak Yeter"," 2"," 0.84"," 0.642"," 0.0749"," 0.01575"," 0.0441"," 0.0557"," 0.6575"," "
"Burhan G"," 1"," 0.565"," 0.639"," 0.0301"," 0.385"," 0.0"," 0.105"," 0.427"," "
"Burl Ives"," 1"," 0.674"," 0.37"," 0.0309"," 0.616"," 0.0"," 0.0781"," 0.862"," "
"Bushido"," 3"," 0.587"," 0.7546666666666666"," 0.455"," 0.23399999999999999"," 0.0"," 0.08873333333333333"," 0.6030000000000001"," "
"C. Tangana"," 1"," 0.836"," 0.731"," 0.133"," 0.238"," 2.19e-05"," 0.0698"," 0.473"," "
"Calcutta "," 1"," 0.653"," 0.428"," 0.0405"," 0.463"," 0.0"," 0.0706"," 0.326"," "
"Cali Y El Dandee"," 1"," 0.724"," 0.84"," 0.0392"," 0.053"," 0.0"," 0.727"," 0.835"," "
"Calvin Harris"," 4"," 0.796"," 0.8119999999999999"," 0.052199999999999996"," 0.288425"," 9.905e-06"," 0.190825"," 0.6075"," "
"CamelPhat"," 1"," 0.706"," 0.74"," 0.0325"," 0.0245"," 0.512"," 0.135"," 0.444"," "
"Camila Cabello"," 3"," 0.6176666666666667"," 0.571"," 0.14876666666666669"," 0.306"," 2.0266666666666667e-05"," 0.13333333333333333"," 0.4566666666666666"," "
"Caparezza"," 1"," 0.683"," 0.729"," 0.0344"," 0.00572"," 0.00332"," 0.0507"," 0.862"," "
"Capo"," 1"," 0.512"," 0.719"," 0.0553"," 0.0377"," 0.0"," 0.312"," 0.146"," "
"Capo Plaza"," 2"," 0.6205"," 0.6379999999999999"," 0.3175"," 0.3355"," 0.0"," 0.1875"," 0.16015000000000001"," "
"Cardi B"," 2"," 0.919"," 0.6345000000000001"," 0.142"," 0.033951999999999996"," 0.0004115"," 0.353"," 0.2783"," "
"Carlos Vives"," 3"," 0.742"," 0.902"," 0.0758"," 0.1236"," 7.733333333333333e-07"," 0.35366666666666663"," 0.757"," "
"Carmon"," 1"," 0.735"," 0.789"," 0.073"," 0.319"," 1.08e-05"," 0.0996"," 0.683"," "
"Cazzu"," 1"," 0.834"," 0.753"," 0.0486"," 0.342"," 0.0"," 0.108"," 0.462"," "
"Ceky Viciny"," 1"," 0.866"," 0.838"," 0.125"," 0.172"," 0.00177"," 0.245"," 0.597"," "
"Cesare Cremonini"," 1"," 0.238"," 0.618"," 0.0373"," 0.0137"," 0.0"," 0.0727"," 0.206"," "
"Ceylan Ertem"," 1"," 0.552"," 0.881"," 0.0452"," 0.167"," 2.99e-06"," 0.346"," 0.872"," "
"Cezinando"," 2"," 0.5435"," 0.439"," 0.1285"," 0.218"," 3.86e-05"," 0.11699999999999999"," 0.3405"," "
"CHANO"," 1"," 0.608"," 0.859"," 0.185"," 0.115"," 0.0"," 0.325"," 0.8"," "
"Chanyeol"," 1"," 0.314"," 0.526"," 0.0484"," 0.428"," 0.0"," 0.126"," 0.195"," "
"Charlie Charles"," 2"," 0.738"," 0.8295"," 0.208"," 0.0496"," 0.0"," 0.08635000000000001"," 0.6935"," "
"Charlie Puth"," 4"," 0.8034999999999999"," 0.60025"," 0.084025"," 0.269225"," 8.7025e-06"," 0.105575"," 0.6995"," "
"Charly Black"," 1"," 0.723"," 0.889"," 0.0939"," 0.0673"," 0.0"," 0.363"," 0.701"," "
"Charmaine Fong"," 2"," 0.577"," 0.4405"," 0.032299999999999995"," 0.7965"," 0.0"," 0.10665"," 0.27549999999999997"," "
