danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.837,0.575,4,-6.665,0,0.0951,0.0497,0.00000209,0.0861,0.648,108.005,audio_features,6KfNna0zfHtWJJ803hFBWX,spotify:track:6KfNna0zfHtWJJ803hFBWX,https://api.spotify.com/v1/tracks/6KfNna0zfHtWJJ803hFBWX,https://api.spotify.com/v1/audio-analysis/6KfNna0zfHtWJJ803hFBWX,269787,4
0.614,0.598,10,-6.335,0,0.0561,0.00543,0,0.1,0.565,105.803,audio_features,5XQMr19TL7Mfksq9zihbOu,spotify:track:5XQMr19TL7Mfksq9zihbOu,https://api.spotify.com/v1/tracks/5XQMr19TL7Mfksq9zihbOu,https://api.spotify.com/v1/audio-analysis/5XQMr19TL7Mfksq9zihbOu,129478,4
0.81,0.885,5,-4.583,0,0.108,0.101,0,0.268,0.447,122.985,audio_features,6YzvFfzQNxAUZWYjDOHo6H,spotify:track:6YzvFfzQNxAUZWYjDOHo6H,https://api.spotify.com/v1/tracks/6YzvFfzQNxAUZWYjDOHo6H,https://api.spotify.com/v1/audio-analysis/6YzvFfzQNxAUZWYjDOHo6H,140698,4
0.497,0.59,1,-7.564,1,0.258,0.1,0,0.0714,0.585,99.638,audio_features,638s8Qi75q1pXjuH86fJX7,spotify:track:638s8Qi75q1pXjuH86fJX7,https://api.spotify.com/v1/tracks/638s8Qi75q1pXjuH86fJX7,https://api.spotify.com/v1/audio-analysis/638s8Qi75q1pXjuH86fJX7,219165,4
0.619,0.858,10,-5.28,1,0.0929,0.00791,0,0.173,0.23,106.017,audio_features,6SUocL0caib4mLHe8ZrZzi,spotify:track:6SUocL0caib4mLHe8ZrZzi,https://api.spotify.com/v1/tracks/6SUocL0caib4mLHe8ZrZzi,https://api.spotify.com/v1/audio-analysis/6SUocL0caib4mLHe8ZrZzi,232627,4
0.624,0.618,8,-4.868,1,0.0322,0.115,0.0000033,0.104,0.122,125.036,audio_features,7bJwvubZZaoGE1AGEfu8Fi,spotify:track:7bJwvubZZaoGE1AGEfu8Fi,https://api.spotify.com/v1/tracks/7bJwvubZZaoGE1AGEfu8Fi,https://api.spotify.com/v1/audio-analysis/7bJwvubZZaoGE1AGEfu8Fi,197253,4
0.579,0.579,11,-6.787,0,0.394,0.387,0,0.17,0.842,104.757,audio_features,6DXEZzM4wBa3EOl0NCNSvz,spotify:track:6DXEZzM4wBa3EOl0NCNSvz,https://api.spotify.com/v1/tracks/6DXEZzM4wBa3EOl0NCNSvz,https://api.spotify.com/v1/audio-analysis/6DXEZzM4wBa3EOl0NCNSvz,181413,4
0.609,0.674,1,-3.007,0,0.202,0.595,0,0.203,0.789,127.656,audio_features,2NHSYwGkAvPHzCinY0KwXo,spotify:track:2NHSYwGkAvPHzCinY0KwXo,https://api.spotify.com/v1/tracks/2NHSYwGkAvPHzCinY0KwXo,https://api.spotify.com/v1/audio-analysis/2NHSYwGkAvPHzCinY0KwXo,231261,3
0.726,0.808,10,-4.377,0,0.134,0.344,0.000163,0.0828,0.483,96.042,audio_features,0ix3RUQ76mECOKP6LDPy66,spotify:track:0ix3RUQ76mECOKP6LDPy66,https://api.spotify.com/v1/tracks/0ix3RUQ76mECOKP6LDPy66,https://api.spotify.com/v1/audio-analysis/0ix3RUQ76mECOKP6LDPy66,207739,4
0.732,0.974,1,-2.158,1,0.168,0.202,0,0.0853,0.717,137.905,audio_features,5gSed1Fd3tdse60Gc0Uuoe,spotify:track:5gSed1Fd3tdse60Gc0Uuoe,https://api.spotify.com/v1/tracks/5gSed1Fd3tdse60Gc0Uuoe,https://api.spotify.com/v1/audio-analysis/5gSed1Fd3tdse60Gc0Uuoe,156961,4
