name,nTracks,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Roope Salminen & Koirat, 1, 0.656, 0.762, 5.009, 0.0451, 0.0972, 0.0, 0.184, 0.609, 99.978, 
Evelina, 3, 1.911, 2.386, 10.189, 0.3569, 0.8059999999999999, 9.31e-06, 0.767, 1.7240000000000002, 471.873, 
Vesala, 1, 0.493, 0.784, 5.064, 0.0548, 0.0101, 0.00215, 0.599, 0.464, 196.072, 
Olli Lindholm, 1, 0.575, 0.913, 3.972, 0.0365, 0.00982, 3.54e-06, 0.302, 0.799, 100.027, 
Teflon Brothers, 2, 1.408, 1.8, 7.56, 0.197, 0.1293, 0.000262, 0.4457, 1.484, 234.99699999999999, 
ItaloBrothers, 1, 0.755, 0.751, 4.034, 0.0748, 0.0635, 0.0, 0.0812, 0.491, 102.002, 
Robin Schulz, 3, 1.7890000000000001, 2.407, 17.308, 0.2136, 0.348, 0.0, 0.509, 1.746, 365.96, 
Yksi Totuus, 1, 0.707, 0.827, 4.444, 0.151, 0.115, 0.0, 0.256, 0.606, 127.996, 
Axwell /\ Ingrosso, 4, 2.585, 3.076, 19.313000000000002, 0.2697, 0.4297, 0.0, 0.9077, 2.301, 484.089, 
Spekti, 1, 0.793, 0.929, 4.047, 0.0913, 0.527, 9.42e-05, 0.266, 0.845, 124.988, 
Petri Nygård, 2, 1.792, 1.746, 8.186, 0.0869, 0.16670000000000001, 2.42e-06, 0.521, 1.615, 242.021, 
"Hesa�""ijä", 1, 0.719, 0.861, 4.374, 0.0457, 0.187, 0.0, 0.167, 0.858, 97.995, 
Arttu Wiskari, 1, 0.729, 0.8, 4.568, 0.0694, 0.033, 0.0, 0.436, 0.859, 94.008, 
Ida Paul & Kalle Lindroth, 1, 0.775, 0.506, 8.494, 0.0729, 0.196, 0.0, 0.103, 0.822, 90.058, 
Herrat, 1, 0.721, 0.84, 3.234, 0.039, 0.0331, 0.0, 0.244, 0.387, 124.053, 
Pasi ja Anssi, 1, 0.764, 0.743, 4.241, 0.0336, 0.00411, 0.00779, 0.293, 0.895, 118.003, 
Linkin Park, 7, 4.194, 5.196, 42.685, 0.3445, 1.1243, 1.64e-06, 1.8511, 2.629, 846.409, 
Tuure Boelius, 2, 1.537, 1.302, 8.902, 0.1234, 0.1649, 1.15e-06, 0.1514, 1.318, 274.068, 
